Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
16051,77,18,89,6,50000,1,1,1,26.59,1248,74.0,5,475000
16052,73,18,42,7,36000,0,4,1,16.02,1373,93.7,7,645000
16053,6,1,2,3,11000,0,1,0,17.09,2993,261.4,4,5600000
16054,97,25,64,7,40000,1,4,1,25.17,799,53.3,5,250000
16056,27,7,25,4,120000,1,1,1,26.0,1498,98.6,5,750000
16058,61,17,85,4,70000,1,1,1,15.4,2179,120.0,7,900000
16060,64,17,114,5,40000,1,1,0,16.0,1997,140.0,7,1100000
16061,4,1,0,9,91000,0,1,0,18.88,1995,184.0,5,1100000
16064,40,8,118,4,20000,1,4,1,18.6,1197,81.83,5,600000
16065,79,18,100,6,33860,1,4,1,20.51,998,67.04,5,325000
16066,79,18,100,3,47000,1,4,0,20.51,998,67.0,5,415000
16067,96,25,32,7,150000,1,1,1,19.01,1461,108.45,5,485000
16068,73,18,42,3,50000,1,4,1,17.5,1373,91.1,7,760000
16069,77,18,89,3,60000,1,4,1,19.95,1197,81.8,5,400000
16070,34,8,54,5,51000,0,4,1,18.9,1197,82.0,5,530000
16071,86,21,36,7,80000,0,1,0,14.21,2143,203.0,5,1999000
16072,40,8,118,7,40000,0,4,1,17.0,1197,80.0,5,475000
16073,115,30,73,9,60000,0,1,1,22.07,1199,73.9,5,260000
16074,27,7,25,11,34178,0,4,1,17.0,1497,118.0,5,430000
16076,76,18,88,13,93000,0,4,1,16.1,1298,88.2,5,165000
16078,77,18,89,4,27000,0,1,1,28.4,1248,74.02,5,875000
16079,89,21,80,10,49000,0,1,0,13.5,2987,254.79,5,1700000
16080,40,8,118,6,35000,1,4,1,18.6,1197,81.83,5,525000
16081,77,18,89,8,72647,0,4,1,19.1,1197,85.8,5,500000
16083,97,25,64,5,30000,0,4,1,22.3,799,53.26,5,375000
16085,28,7,26,13,66000,0,4,1,14.8,1799,130.2,5,414000
16088,39,8,117,6,5000,1,4,1,20.36,1197,78.9,5,400000
16089,20,6,38,5,37000,1,1,1,22.77,1498,98.59,5,850000
16091,76,18,88,4,47050,0,4,1,21.21,1197,81.8,5,530000
16093,16,3,119,5,7001,0,4,1,21.7,999,67.05,5,325000
16098,67,18,23,7,50000,0,4,0,23.1,998,67.04,5,440000
16099,22,6,44,8,45000,0,1,1,20.0,1399,68.1,5,375000
16100,111,29,45,8,127000,0,1,1,11.5,2982,171.0,7,1450000
16102,79,18,100,5,53000,0,0,1,33.54,998,67.04,5,380000
16103,84,21,16,13,57000,0,4,0,11.74,1796,186.0,5,895000
16104,35,8,84,10,65000,1,4,1,17.92,1086,62.1,5,310000
16105,11,1,106,5,15000,1,1,0,15.97,2993,258.0,5,5000000
16106,35,8,84,8,64000,0,4,1,17.92,1086,62.1,5,240000
16107,75,18,81,1,1200,1,4,1,21.7,998,67.0,5,500000
16108,113,29,60,12,214000,0,1,1,12.99,2494,100.6,7,525000
16109,24,7,10,7,35000,0,4,0,15.5,1198,86.7,5,425000
16110,116,30,95,6,38000,0,4,0,16.93,1197,103.2,5,545000
16112,28,7,26,12,101689,0,4,1,13.5,1799,130.0,5,465000
16114,113,29,60,10,132734,0,1,1,12.8,2494,102.0,8,955000
16115,77,18,89,5,28117,1,4,1,20.85,1197,83.14,5,615000
16116,77,18,89,8,56000,0,1,1,23.4,1248,74.0,5,359000
